Frequency (Hz),RIN (Hz^-1/2)
10011.7915,1.06E-06
10041.46137,1.04E-06
10071.13124,1.01E-06
10100.80111,9.93E-07
10130.47097,9.74E-07
10160.14084,9.60E-07
10189.81071,9.57E-07
10219.48058,9.51E-07
10249.15045,9.38E-07
10278.82031,9.25E-07
10308.49018,9.33E-07
10338.16005,9.60E-07
10367.82992,9.78E-07
10397.49978,9.89E-07
10427.16965,9.95E-07
10456.83952,9.97E-07
10486.50939,9.95E-07
10516.17925,9.90E-07
10545.84912,9.88E-07
10575.51899,9.92E-07
10605.18886,9.91E-07
10634.85872,9.80E-07
10664.52859,9.67E-07
10694.19846,9.48E-07
10723.86833,9.34E-07
10753.53819,9.29E-07
10783.20806,9.29E-07
10812.87793,9.37E-07
10842.5478,9.49E-07
10872.21767,9.73E-07
10901.88753,9.88E-07
10931.5574,9.82E-07
10961.22727,9.72E-07
10990.89714,9.72E-07
11020.567,9.82E-07
11050.23687,9.90E-07
11079.90674,9.85E-07
11109.57661,9.75E-07
11139.24647,9.63E-07
11168.91634,9.50E-07
11198.58621,9.31E-07
11228.25608,9.13E-07
11257.92594,9.06E-07
11287.59581,9.12E-07
11317.26568,9.26E-07
11346.93555,9.42E-07
11376.60541,9.73E-07
11406.27528,1.01E-06
11435.94515,1.01E-06
11465.61502,9.87E-07
11495.28489,9.42E-07
11524.95475,9.09E-07
11554.62462,8.99E-07
11584.29449,9.00E-07
11613.96436,9.09E-07
11643.63422,9.24E-07
11673.30409,9.32E-07
11702.97396,9.24E-07
11732.64383,9.10E-07
11762.31369,9.12E-07
11791.98356,9.28E-07
11821.65343,9.41E-07
11851.3233,9.38E-07
11880.99316,9.27E-07
11910.66303,9.27E-07
11940.3329,9.32E-07
11970.00277,9.26E-07
11999.67264,9.15E-07
12029.3425,9.05E-07
12059.01237,9.00E-07
12088.68224,9.10E-07
12118.35211,9.37E-07
12148.02197,9.58E-07
12177.69184,9.54E-07
12207.36171,9.35E-07
12237.03158,9.26E-07
12266.70144,9.22E-07
12296.37131,9.19E-07
12326.04118,9.21E-07
