frequency (Hz),RIN (Hz^-1/2)
13394.15641,4.93E-06
13423.82628,5.34E-06
13453.49615,5.22E-06
13483.16602,5.18E-06
13512.83588,5.16E-06
13542.50575,4.50E-06
13572.17562,5.70E-06
13601.84549,5.42E-06
13631.51535,4.65E-06
13661.18522,5.30E-06
13690.85509,5.13E-06
13720.52496,5.32E-06
13750.19482,5.39E-06
13779.86469,5.56E-06
13809.53456,5.44E-06
13839.20443,5.40E-06
13868.8743,5.17E-06
13898.54416,5.06E-06
13928.21403,5.28E-06
13957.8839,5.69E-06
13987.55377,5.09E-06
14017.22363,5.09E-06
14046.8935,4.93E-06
14076.56337,5.12E-06
14106.23324,5.13E-06
14135.9031,5.11E-06
14165.57297,5.29E-06
14195.24284,5.23E-06
14224.91271,4.79E-06
14254.58257,4.95E-06
14284.25244,4.84E-06
14313.92231,4.96E-06
14343.59218,5.34E-06
14373.26204,5.46E-06
14402.93191,5.10E-06
14432.60178,5.30E-06
14462.27165,5.43E-06
14491.94152,5.07E-06
14521.61138,5.23E-06
14551.28125,5.46E-06
14580.95112,5.57E-06
14610.62099,5.76E-06
14640.29085,5.95E-06
14669.96072,5.92E-06
14699.63059,5.42E-06
14729.30046,5.63E-06
14758.97032,5.46E-06
14788.64019,5.77E-06
14818.31006,5.88E-06
14847.97993,5.93E-06
14877.64979,5.37E-06
14907.31966,5.34E-06
14936.98953,5.61E-06
14966.6594,6.19E-06
14996.32926,6.57E-06
15025.99913,6.20E-06
15055.669,5.94E-06
15085.33887,5.59E-06
15115.00874,5.63E-06
15144.6786,5.72E-06
15174.34847,5.71E-06
15204.01834,5.44E-06
15233.68821,5.47E-06
15263.35807,5.27E-06
15293.02794,5.30E-06
15322.69781,5.43E-06
15352.36768,5.02E-06
15382.03754,5.78E-06
15411.70741,5.83E-06
15441.37728,5.95E-06
15471.04715,6.12E-06
15500.71701,5.97E-06
15530.38688,5.99E-06
15560.05675,5.49E-06
15589.72662,5.64E-06
15619.39648,5.53E-06
15649.06635,6.17E-06
15678.73622,6.04E-06
15708.40609,5.35E-06
15738.07596,5.46E-06
15767.74582,5.31E-06
15797.41569,5.04E-06
15827.08556,5.31E-06
15856.75543,5.45E-06
15886.42529,5.48E-06
15916.09516,5.43E-06
15945.76503,5.25E-06
15975.4349,5.21E-06
16005.10476,5.15E-06
16034.77463,5.49E-06
16064.4445,5.87E-06
16094.11437,5.28E-06
16123.78423,5.69E-06
16153.4541,5.17E-06
16183.12397,5.77E-06
16212.79384,6.09E-06
16242.4637,6.36E-06
16272.13357,6.62E-06
16301.80344,6.68E-06
16331.47331,6.54E-06
16361.14318,6.30E-06
16390.81304,6.36E-06
16420.48291,5.21E-06
16450.15278,5.30E-06
16479.82265,5.95E-06
16509.49251,6.20E-06
16539.16238,6.17E-06
16568.83225,5.98E-06
16598.50212,5.43E-06
16628.17198,5.50E-06
16657.84185,5.33E-06
16687.51172,5.19E-06
16717.18159,5.65E-06
16746.85145,5.74E-06
16776.52132,6.11E-06
16806.19119,6.04E-06
16835.86106,5.96E-06
16865.53092,6.52E-06
16895.20079,6.55E-06
16924.87066,6.26E-06
16954.54053,6.33E-06
16984.2104,5.87E-06
17013.88026,5.90E-06
17043.55013,6.01E-06
17073.22,6.07E-06
17102.88987,5.50E-06
17132.55973,5.25E-06
17162.2296,5.72E-06
17191.89947,5.48E-06
17221.56934,6.17E-06
17251.2392,6.31E-06
17280.90907,5.73E-06
17310.57894,6.11E-06
17340.24881,5.24E-06
17369.91867,5.68E-06
17399.58854,6.09E-06
17429.25841,6.51E-06
17458.92828,6.32E-06
17488.59815,6.66E-06
17518.26801,6.12E-06
17547.93788,5.63E-06
17577.60775,5.80E-06
17607.27762,6.56E-06
17636.94748,6.54E-06
17666.61735,5.54E-06
17696.28722,5.99E-06
17725.95709,6.48E-06
17755.62695,6.51E-06
17785.29682,6.19E-06
17814.96669,6.58E-06
17844.63656,7.02E-06
17874.30642,6.59E-06
17903.97629,6.28E-06
17933.64616,6.32E-06
17963.31603,6.22E-06
17992.98589,6.35E-06
18022.65576,6.29E-06
18052.32563,6.21E-06
18081.9955,5.83E-06
18111.66537,5.96E-06
18141.33523,6.25E-06
18171.0051,6.33E-06
18200.67497,6.14E-06
18230.34484,5.96E-06
18260.0147,5.99E-06
18289.68457,5.93E-06
18319.35444,5.76E-06
18349.02431,6.01E-06
18378.69417,6.11E-06
18408.36404,5.95E-06
18438.03391,6.17E-06
18467.70378,6.26E-06
18497.37364,5.73E-06
18527.04351,5.56E-06
18556.71338,5.89E-06
18586.38325,6.24E-06
18616.05311,6.53E-06
18645.72298,6.74E-06
18675.39285,6.52E-06
18705.06272,5.96E-06
18734.73259,6.25E-06
18764.40245,6.48E-06
18794.07232,6.81E-06
18823.74219,6.45E-06
18853.41206,6.06E-06
18883.08192,6.62E-06
18912.75179,6.89E-06
18942.42166,6.86E-06
18972.09153,6.47E-06
19001.76139,6.21E-06
19031.43126,6.34E-06
19061.10113,6.51E-06
19090.771,6.18E-06
19120.44086,5.83E-06
19150.11073,6.49E-06
19179.7806,6.11E-06
19209.45047,6.47E-06
19239.12033,6.53E-06
19268.7902,6.79E-06
19298.46007,6.12E-06
19328.12994,6.86E-06
19357.79981,6.22E-06
19387.46967,5.97E-06
19417.13954,5.91E-06
19446.80941,6.44E-06
19476.47928,6.93E-06
19506.14914,6.81E-06
19535.81901,6.61E-06
19565.48888,6.08E-06
19595.15875,5.94E-06
19624.82861,5.71E-06
19654.49848,6.35E-06
19684.16835,6.64E-06
19713.83822,6.46E-06
19743.50808,6.92E-06
19773.17795,7.13E-06
19802.84782,6.68E-06
19832.51769,6.27E-06
19862.18755,7.00E-06
19891.85742,7.45E-06
19921.52729,7.08E-06
19951.19716,7.34E-06
19980.86703,7.08E-06
20010.53689,7.14E-06
20040.20676,7.19E-06
20069.87663,7.11E-06
20099.5465,6.45E-06
20129.21636,6.41E-06
20158.88623,6.42E-06
20188.5561,6.33E-06
20218.22597,6.45E-06
20247.89583,6.35E-06
20277.5657,6.75E-06
20307.23557,6.05E-06
20336.90544,6.16E-06
20366.5753,6.48E-06
20396.24517,6.51E-06
20425.91504,6.30E-06
20455.58491,6.36E-06
20485.25477,5.96E-06
20514.92464,5.99E-06
20544.59451,6.20E-06
20574.26438,6.08E-06
20603.93425,6.77E-06
20633.60411,7.02E-06
20663.27398,6.78E-06
20692.94385,6.63E-06
20722.61372,6.34E-06
20752.28358,6.95E-06
20781.95345,6.73E-06
20811.62332,6.72E-06
20841.29319,6.20E-06
20870.96305,6.26E-06
20900.63292,6.63E-06
20930.30279,6.63E-06
20959.97266,6.05E-06
20989.64252,6.14E-06
21019.31239,6.51E-06
21048.98226,6.21E-06
21078.65213,5.97E-06
21108.32199,6.07E-06
21137.99186,6.26E-06
21167.66173,6.37E-06
21197.3316,6.38E-06
21227.00147,7.27E-06
21256.67133,7.34E-06
21286.3412,7.46E-06
21316.01107,7.49E-06
21345.68094,7.42E-06
21375.3508,7.34E-06
21405.02067,7.39E-06
21434.69054,7.31E-06
21464.36041,7.05E-06
21494.03027,6.38E-06
21523.70014,6.58E-06
21553.37001,6.42E-06
21583.03988,6.25E-06
21612.70974,6.31E-06
21642.37961,6.31E-06
21672.04948,6.11E-06
21701.71935,6.66E-06
21731.38921,6.74E-06
21761.05908,6.82E-06
21790.72895,6.77E-06
21820.39882,6.53E-06
21850.06869,6.81E-06
21879.73855,6.68E-06
21909.40842,6.75E-06
21939.07829,7.37E-06
21968.74816,7.65E-06
21998.41802,7.51E-06
22028.08789,7.27E-06
22057.75776,6.54E-06
22087.42763,6.60E-06
22117.09749,6.13E-06
22146.76736,6.39E-06
22176.43723,6.07E-06
22206.1071,6.61E-06
22235.77696,6.63E-06
22265.44683,7.48E-06
22295.1167,6.78E-06
22324.78657,6.46E-06
22354.45643,6.71E-06
22384.1263,7.27E-06
22413.79617,7.03E-06
22443.46604,7.00E-06
22473.13591,7.49E-06
22502.80577,8.06E-06
22532.47564,7.57E-06
22562.14551,7.08E-06
22591.81538,6.81E-06
22621.48524,7.32E-06
22651.15511,7.50E-06
22680.82498,7.13E-06
22710.49485,6.70E-06
