Frequency (Hz),1A,2A,3A,4A,5A
5353.622287,2.41E-06,1.76E-06,1.86E-06,1.64E-06,1.94E-06
5383.292155,2.44E-06,1.84E-06,1.56E-06,1.41E-06,1.68E-06
5412.962023,2.80E-06,1.63E-06,1.30E-06,1.24E-06,1.65E-06
5442.63189,2.69E-06,1.45E-06,1.31E-06,1.46E-06,1.49E-06
5472.301758,2.80E-06,1.41E-06,1.45E-06,1.68E-06,1.17E-06
5501.971625,2.94E-06,1.52E-06,1.69E-06,1.44E-06,1.29E-06
5531.641493,3.24E-06,1.57E-06,1.41E-06,1.38E-06,1.43E-06
5561.311361,3.06E-06,1.50E-06,1.29E-06,1.46E-06,1.66E-06
5590.981228,3.35E-06,1.50E-06,1.35E-06,1.32E-06,1.87E-06
5620.651096,3.32E-06,1.45E-06,1.22E-06,1.50E-06,1.69E-06
5650.320964,3.34E-06,1.39E-06,1.29E-06,1.29E-06,1.60E-06
5679.990831,3.92E-06,1.81E-06,1.40E-06,1.15E-06,1.72E-06
5709.660699,3.73E-06,2.17E-06,1.18E-06,1.48E-06,1.44E-06
5739.330566,3.70E-06,2.08E-06,1.13E-06,1.46E-06,1.23E-06
5769.000434,3.91E-06,1.92E-06,1.28E-06,1.16E-06,1.39E-06
5798.670302,3.51E-06,2.23E-06,1.51E-06,1.22E-06,1.26E-06
5828.340169,2.50E-06,2.32E-06,1.47E-06,1.24E-06,1.21E-06
5858.010037,3.01E-06,2.07E-06,1.35E-06,1.18E-06,1.62E-06
5887.679905,3.45E-06,1.74E-06,1.34E-06,1.20E-06,1.71E-06
5917.349772,3.24E-06,1.61E-06,1.27E-06,1.46E-06,1.85E-06
5947.01964,3.47E-06,1.66E-06,1.41E-06,1.26E-06,1.71E-06
5976.689507,3.73E-06,1.54E-06,1.72E-06,1.14E-06,1.63E-06
6006.359375,3.91E-06,1.72E-06,1.83E-06,1.34E-06,1.77E-06
6036.029243,3.35E-06,1.87E-06,1.66E-06,1.45E-06,1.70E-06
6065.69911,3.54E-06,2.07E-06,1.28E-06,1.57E-06,1.23E-06
6095.368978,3.34E-06,1.85E-06,1.27E-06,1.43E-06,1.19E-06
6125.038845,3.57E-06,2.05E-06,1.69E-06,1.82E-06,1.24E-06
6154.708713,3.37E-06,1.93E-06,1.78E-06,1.99E-06,1.35E-06
6184.378581,2.74E-06,1.49E-06,1.83E-06,1.97E-06,1.50E-06
6214.048448,2.65E-06,1.64E-06,1.56E-06,2.06E-06,1.54E-06
6243.718316,3.08E-06,1.89E-06,1.29E-06,1.93E-06,1.28E-06
6273.388184,2.96E-06,2.19E-06,1.30E-06,1.37E-06,1.41E-06
6303.058051,3.03E-06,2.31E-06,1.29E-06,1.50E-06,1.60E-06
6332.727919,2.83E-06,2.03E-06,1.20E-06,1.42E-06,1.62E-06
6362.397786,3.62E-06,1.71E-06,1.22E-06,1.50E-06,1.50E-06
6392.067654,3.85E-06,1.61E-06,1.45E-06,1.72E-06,1.48E-06
6421.737522,4.37E-06,1.46E-06,1.74E-06,1.82E-06,1.48E-06
6451.407389,3.62E-06,1.71E-06,1.83E-06,1.56E-06,1.73E-06
6481.077257,3.96E-06,1.88E-06,1.57E-06,1.35E-06,1.87E-06
6510.747125,3.55E-06,1.97E-06,1.56E-06,1.64E-06,1.95E-06
6540.416992,3.80E-06,1.95E-06,1.67E-06,1.92E-06,2.08E-06
6570.08686,3.95E-06,1.71E-06,1.67E-06,1.70E-06,1.94E-06
6599.756727,3.21E-06,1.56E-06,1.57E-06,1.74E-06,1.71E-06
6629.426595,2.85E-06,1.44E-06,1.44E-06,1.66E-06,1.60E-06
6659.096463,3.66E-06,1.54E-06,1.52E-06,1.60E-06,1.57E-06
6688.76633,3.81E-06,1.55E-06,1.67E-06,1.45E-06,1.81E-06
6718.436198,3.25E-06,1.49E-06,1.43E-06,1.27E-06,1.77E-06
6748.106066,3.76E-06,1.48E-06,1.61E-06,1.35E-06,1.74E-06
6777.775933,3.97E-06,1.84E-06,1.73E-06,1.55E-06,1.41E-06
6807.445801,4.13E-06,1.66E-06,1.54E-06,1.32E-06,1.52E-06
6837.115668,3.55E-06,1.52E-06,1.66E-06,1.45E-06,1.41E-06
6866.785536,3.73E-06,1.69E-06,1.50E-06,1.43E-06,1.40E-06
6896.455404,4.09E-06,1.70E-06,1.57E-06,1.20E-06,1.31E-06
6926.125271,3.35E-06,1.92E-06,1.60E-06,1.46E-06,1.25E-06
6955.795139,3.26E-06,1.76E-06,1.92E-06,1.77E-06,1.59E-06
6985.465007,3.09E-06,1.62E-06,1.60E-06,1.83E-06,1.66E-06
